,t,OF,OF_Hb,IF_Hb,S_in,IF_Hb_Sb,H_in,IF_Sb,OF_Sb,IF,OF_Hb_Sb
89,0.08900593372891527,4.657377977157008e-09,4.676238562871913e-09,4.866093550609553e-09,0.0009999746806339273,4.8678293218129485e-08,1.0497107285549927e-07,4.638689696398548e-08,4.655509972726168e-08,2.125e-08,2.125e-08
90,0.09000600040002668,4.657561540980856e-09,4.676367970377929e-09,4.8656823120080445e-09,0.0009999746991875588,4.867412759297368e-08,1.0495668484912669e-07,4.638927153440933e-08,4.655698904926506e-08,2.125e-08,2.125e-08
91,0.09100606707113809,4.657742780155191e-09,4.676495170040136e-09,4.865275846723446e-09,0.0009999747176892852,4.8670003302129495e-08,1.0494230741356503e-07,4.639162784436261e-08,4.655885505660368e-08,2.125e-08,2.125e-08
92,0.09200613374224949,4.657925823498955e-09,4.67662421941284e-09,4.864866464097141e-09,0.0009999747361372267,4.866585742724053e-08,1.04928005346833e-07,4.63939871120024e-08,4.656073895376237e-08,2.125e-08,2.125e-08
93,0.0930062004133609,4.658108039053134e-09,4.676752634472353e-09,4.864458733960356e-09,0.000999974754532561,4.866172797243557e-08,1.0491373946736032e-07,4.639633822081144e-08,4.656261439928106e-08,2.125e-08,2.125e-08
94,0.09400626708447231,4.6582892063812904e-09,4.676880290212076e-09,4.864052850973564e-09,0.0009999747728753952,4.865761691349095e-08,1.0489950769212728e-07,4.6398681619475546e-08,4.656447911948022e-08,2.125e-08,2.125e-08
95,0.09500633375558372,4.658469199837876e-09,4.677007174584751e-09,4.863648839165747e-09,0.0009999747911658135,4.865352480177956e-08,1.0488530938569301e-07,4.6401018218151786e-08,4.656633176649379e-08,2.125e-08,2.125e-08
96,0.09600640042669512,4.65864794457398e-09,4.677133347453326e-09,4.863246633906922e-09,0.0009999748094038999,4.864945143159433e-08,1.0487114466942366e-07,4.640334916544087e-08,4.6568171477044134e-08,2.125e-08,2.125e-08
97,0.09700646709780653,4.6588255146812246e-09,4.677258746905752e-09,4.862846209610689e-09,0.000999974827589834,4.864539624184579e-08,1.0485701392497315e-07,4.6405674171491065e-08,4.6569999115479233e-08,2.125e-08,2.125e-08
98,0.09800653376891794,4.659002167603559e-09,4.677383139551296e-09,4.862447608004899e-09,0.000999974845723918,4.864135835408147e-08,1.0484291772864674e-07,4.640799103793875e-08,4.6571817692833795e-08,2.125e-08,2.125e-08
99,0.09900660044002935,4.659177991927316e-09,4.67750694426001e-09,4.862050363213155e-09,0.0009999748638061968,4.863733440430495e-08,1.0482885939965197e-07,4.641030250895024e-08,4.657362778735814e-08,2.125e-08,2.125e-08
100,0.10000666711114076,4.659353283396999e-09,4.677630410718475e-09,4.861654062980085e-09,0.0009999748818368456,4.863332053030865e-08,1.0481484262493219e-07,4.641260933252074e-08,4.657543238008893e-08,2.125e-08,2.125e-08
101,0.10100673378225215,4.659528444346986e-09,4.677753874668686e-09,4.8612581663523954e-09,0.0009999748998160553,4.862931163944922e-08,1.048008723061087e-07,4.6414912346408875e-08,4.6577235528787806e-08,2.125e-08,2.125e-08
102,0.10200680045336356,4.659703992973241e-09,4.67787776500001e-09,4.860861992727172e-09,0.0009999749177440338,4.8625301303208765e-08,1.0478695466381225e-07,4.6417212484131904e-08,4.657904246197293e-08,2.125e-08,2.125e-08
103,0.10300686712447497,4.65987605422674e-09,4.677998815383516e-09,4.860470272870917e-09,0.0009999749356200851,4.862133407128903e-08,1.0477304584442172e-07,4.641950661621398e-08,4.6580814170030183e-08,2.125e-08,2.125e-08
104,0.10400693379558638,4.660045073370862e-09,4.678117383002153e-09,4.860082423286763e-09,0.0009999749534443862,4.861740438423618e-08,1.0475915123029004e-07,4.6421795579225185e-08,4.658255515689381e-08,2.125e-08,2.125e-08
105,0.1050070004666978,4.660212388084139e-09,4.678234568405685e-09,4.8596967663014165e-09,0.0009999749712172874,4.861349634398837e-08,1.04745286369417e-07,4.642408101361824e-08,4.658427891961787e-08,2.125e-08,2.125e-08
106,0.10600706713780919,4.660378243839497e-09,4.678350547724193e-09,4.859312973527618e-09,0.0009999749889389059,4.860960674038965e-08,1.0473145435466649e-07,4.642636353188332e-08,4.658598796265234e-08,2.125e-08,2.125e-08
107,0.1070071338089206,4.660543034771606e-09,4.67846561430578e-09,4.858930538859874e-09,0.0009999750066093781,4.860573065751237e-08,1.047176599650393e-07,4.642864385974804e-08,4.658768629481998e-08,2.125e-08,2.125e-08
108,0.10800720048003201,4.660707323295386e-09,4.678580194499892e-09,4.858548754786189e-09,0.0009999750242288645,4.8601861248181024e-08,1.0470390988793083e-07,4.6430922851709564e-08,4.658937962754669e-08,2.125e-08,2.125e-08
109,0.10900726715114342,4.660871859724531e-09,4.678694863440626e-09,4.858166688699802e-09,0.0009999750417975508,4.859798950849609e-08,1.0469021294138887e-07,4.6433201506566894e-08,4.659107557309195e-08,2.125e-08,2.125e-08
110,0.11000733382225483,4.661037601890014e-09,4.678810360830038e-09,4.857783159210906e-09,0.000999975059315652,4.859410405235784e-08,1.0467658029637127e-07,4.6435480982953035e-08,4.659278384277913e-08,2.125e-08,2.125e-08
111,0.11100740049336623,4.6612057347586006e-09,4.678927606721471e-09,4.857396712458384e-09,0.000999975076783416,4.8590190885990204e-08,1.0466302569900374e-07,4.643776261486722e-08,4.659451644522601e-08,2.125e-08,2.125e-08
112,0.11200746716447764,4.661377690051368e-09,4.679047717302854e-09,4.8570055984215394e-09,0.0009999750942011254,4.858623318246462e-08,1.0464956569283755e-07,4.644004792720712e-08,4.659628788457504e-08,2.125e-08,2.125e-08
113,0.11300753383558905,4.661554327958994e-09,4.679171370185063e-09,4.85660879315776e-09,0.0009999751115690259,4.8582221115961966e-08,1.0463620985881505e-07,4.644233752700294e-08,4.659810686575614e-08,2.125e-08,2.125e-08
114,0.11400760050670046,4.661711735044032e-09,4.679280015979651e-09,4.856236210254601e-09,0.000999975128885088,4.8578442438526435e-08,1.046226724740673e-07,4.644459861826274e-08,4.6599730981957454e-08,2.125e-08,2.125e-08
115,0.11500766717781187,4.661867695290123e-09,4.67938748276199e-09,4.8558657280922646e-09,0.0009999751461511538,4.857468444885022e-08,1.0460916439792408e-07,4.644685418200148e-08,4.660134046303111e-08,2.125e-08,2.125e-08
116,0.11600773384892327,4.662022673708556e-09,4.679494160035959e-09,4.855496858790854e-09,0.0009999751633674831,4.857094254415025e-08,1.0459568997341162e-07,4.644910377728161e-08,4.660293998606237e-08,2.125e-08,2.125e-08
117,0.11700780052003468,4.662177291517892e-09,4.679600565908763e-09,4.855128935341908e-09,0.00099997518053437,4.856721042588842e-08,1.0458225520492779e-07,4.645134697860854e-08,4.660453580276658e-08,2.125e-08,2.125e-08
118,0.11800786719114609,4.662332341612216e-09,4.6797073596522545e-09,4.854761093100754e-09,0.0009999751976521455,4.856347992412278e-08,1.0456886793105606e-07,4.645358338589403e-08,4.660613589565262e-08,2.125e-08,2.125e-08
